Turkish,Arabic Syrian
Günaydın tatlım benim. Günaydın.,صباح الخير حبيبتي
Kızım iyi misin sen?,انت بخير بنتي ؟
Ne demek istiyorsun?,شو قصدك يعني ؟
Sağ ol. Utandırma beni.,"شكرا ، لا تخجلني"
Eee ne yapıyorsun?,"اي ، شو عم تعملي ؟"
"Haklısın oğlum, haklısın.","معك حق ابني ، معك حق"
Gelir misin benimle?,ممكن تجي معي ؟
Sağ olun kızlar.,شكرا يا بنات
Sağ olasın teyzem.,شكرا يا خالتي
Yani tabii haklısın.,طبعا معك حق
Hadi hareket et.,يلا تحرك
Ne yapıyorsun be?,شو عم تعملي ؟
Hadi dans edin.,يلا رقصوا
Size iyi geceler.,تصبحوا علي خير
Çok sağ olun.,شكرا الك
"Beni düşün, Yusuf'u düşün.","فكر فيني ، و فكر ب يوسف"
Ne diyorsun sen?,شو عم تقولي انتي ؟
Biz seni biliyoruz amca.,نحن منعرفك عمي
Anladın mı beni?,فهمتي عليي ؟.
Ben senin yerinde olsaydım...,لو انا كنت مكانك ..
Baba bir dakika.,بابا دقيقه
Benim bir kalbim var.,انا في عندي قلب
Hiç şeyden haberim yok.,ما عندي علم باي شي
Kulübü satın aldım.,اشتريت النادي
O da muhtemelen diyor ki...,فمن المحتمل انو يقول ..
Evlilikte sevgi çok önemli.,"بالزواج ، الحب مهم كتير"
Benden özür dileyeceksin.,"انت ، لازم تعتذر مني"
Sesi duydunuz mu?,سمعتي هالصوت ؟
Ağlama lütfen ağlama.,لا تبكي لو سمحتي
Hoş geldin tatlım.,اهلا و سهلا حبيبتي
Ne yapıyorsun ya?,انت شو عم تعمل ؟
Özür mü dileyeceksin?,بدك تعتذري ؟
Ne diyorsun sen ya?,شو يلي عم تقوليه ؟
Ne diyorsun ya?,شو الي عم تقولو ؟
Sakın saçmalama sakın.,لا تتصرفي بغباء
O da dikkat et oğlum.,اوجان انتبه منيح يا ابني
Hangi hikaye kardeşim?,اي قصه اخي ؟
Yusuf'un kalbini kazanman lazım.,انتي لازم تكسبي قلب يوسف
Ah merhaba ekip!,مرحبا فريق
Sen de sever misin bitkileri?,انتي بتحبي النباتات كمان؟
Hazır mısın? Hazırım.,انت جاهز ؟
Hiç korkmayın be.,لا تخاف ابدا
"Tamam, sakin ol.","تمام ، اهدي شوي"
Hadi devam edelim biz.,يلا خلينا نكمل
Ne işi? Hangi iş?,"اي وظيفه؟ ، اي وظيفه ؟"
Tamam bitti gitti.,وانتهي الموضوع
E hadi gidelim.,اي يلا نروح
Sorma kardeş ya.,لا تسالني شي اخي
Zınnamı çay iç.,عالقليله شربي شاي
"Affet beni, beni affet, affet.","سامحيني ، انا بترجاكي سامحيني"
Evden ayrıldık da.,"نحن ، تركنا البيت"
Kızım şakalaştım sadece.,بنتي انا بس كنت عم امزح معو
Ne demek? Nasıl yani?,"شو؟ ، كيف يعني ؟"
"Alo, efendim oğlum.","الو ، اهلين ابني"
Benim eve dönmem gerek. Nereye?,"انا ، لازم ارجع عالبيت"
Çok haklısın oğlum.,معك حق ابني
Biliyorum ki sen güçlüsün.,بس انا بعرف انك قوي و قبضاي
Ben seni anladım.,انا فهمتك
Sen karışma Susan.,انتي لا تتدخلي سوسن
Senin olmadığın herhangi bir yere.,لاي مكان انتي مو موجوده فيه
"Ozan, gel oğlum.","اوجان ، تعال ابني"
Gel gel gel,"يلا تعال تعال ، تعال"
"Allah kahretsin ya, Allah kahretsin!","الله يلعن ، الله يلعن"
Duruk senin hayallerin varmış.,دوروك انت عندك احلام بدك تحققا
Seherciğim kahvemi tazeleyebilir misin lütfen?,حبيبتي سحر ممكن تصبيلي قهوه لو سمحتي ؟
Peki ben ölmekten korkuyor muyum?,"بتعتقدي ، انو انا بخاف من الموت ؟"
"Bir dakika, bir dakika.",دقيقه دقيقه
Ama teşekkür ederim.,بس شكرا كتير
Öbürü oğlundan sebep.,والتانيه بسبب ابنا كمان
"Bir dakika canım, bir dakika.","دقيقه حبيبتي ، بس دقيقه"
Sen bir şey mi diyecektin? Ne oldu?,كان بدك تقولي شي؟ شو في؟
Şöyle davranma bana ya. Yorulmadın mı?,لا تصرف معي بهي الطريقه ما تعبت ؟
Kendi kurallarını da görmezden gelir olmuşsun.,انت عم تتجاهل قوانينك الخاصه كمان
Kesin kocaman bir ev olur ha.,اكيد رح يكون البيت كبير
Senin araban nerede? Otoparka mı koydun?,اااا وين سيارتك حطيتيا بالكراج ؟
En zor zamanında umut oldun Yusuf'a.,"انتي كنتي الامل ، ل يوسف باصعب الاوقات"
Amerikan heykeli bir Türk karakolunda mı?,تمثال امريكي بمخفر تركي ؟
Sen benim yerimde olsaydın ne yapardın?,لو انتي مكاني شو كنتي بتعملي ؟
"Aa, annemle de gelmişsin öyle diyordun.",قلتلنا انو كنت تجي مع امي كمان لهون
Ya sabah biraz hasta uyandım da.,"بس ، فقت الصبح كنت مريضه شوي"
Gel oğlum gel. Otur ayakta kalma.,"تعال ابني ، اقعود لا تضل واقف"
Beni de annem aramış on iki kere ya.,"اوووووف ، وانا امي اتصلت فيني ، 12 مره"
Yok yok tahmininiz doğru zaten. Biz eskiden sevgiliydik.,"لاء لاء احساسك صح ، نحن كنا حبيبين من قبل"
"Safa da benim oğlum olacak, anla.",صفا بيكون ابني كمان فهمي
"Adamlarımın beni takip etmelerine izin verin, kaçtım.","خلوا رجالن يلاحقوني ، و انا هربت"
Teşekkür ederiz. Biz gelmeden yedik bir şeyler.,شكرا الك نحن اكلنا قبل ما نجي لهون
Heyecanlı mısın bakalım yeni işin için?,متحمسه علي شغلك الجديد؟
Nesi var amcamın iyi mi peki şu an?,شو صاير مع عمي هو بخير هلق ؟
Bir kere doğruyu konuşun ya hadi.,بس شي مره قولو الحقيقه يلا
Ya senin ne kadar güzel bir kalbin var sevgilim.,يا الله انتي عندك قلب كتير طيب حبيبتي
Siz de konağa dönün. Ben buradayım.,"انتوا رجعوا عالقصر ، انا هون"
Hak ettiğin gibi bir geleceğinin olması.,و يكون عندك المستقبل يلي بستحقيه
Teyzem beni çok seviyor. Ben de onu.,خالتي بتحبني كتير وانا بحبا
Ve öyle anlaşıldıysam senden özür dilerim. Yok.,اذا عنجد فهمتي هيك فانا بعتذر منك
Amca pek bir cesur gördüm seni.,"عمي ، انت صاير كتير شجاع"
Yorulduysan mola ver biraz çay iç?,اذا تعبتي خدي استراحه و شربي شاي
Sen bana kötülüklerin en büyüğünü yaptın Doruk.,انت ساويت اكبر شر بحقي دوروك
Ne yapıyorsun sen burada be adam?,شو عم تعمل هون يا رجل ؟
Yani Yusuf tamamen elimizden gitmiş olabilir.,"يعني يمكن ، يوسف ضاع من ايدينا تماما"
Ömer kızımın hayatını kurtarmış. Teşekkür etmek istedim o kadar.,عمر انقذ حياه بنتنا وكان بدي اتشكرو بس هيك
Boş bir taksi yolla ya Rabbim şu evliliğimi kurtar ya.,يالله بعتلي تاكسي باسرع وقت وانقذلي زواجي يا الله
Ha babasıyla vakit geçirsin dedin yani.,"ااااه ، اجي ليقضي وقت مع ابوه"
"İyi geceler oğlum, Allah’a emanet ol.","يلا ، تصبح علي خير بامان الله ابني"
